순번,입주형태,업체명,분야,설명,대표자
1,분양,(주)대은계전,IT,유무선통신장비 제조업,고휴환
2,분양,(주)덴티움,BT,의학약학연구개발업,강희택
3,분양,(주)베리미디어,CT,"방송프로그램공급,호스팅및관련서비스",하용운
4,분양,(주)제우스,BT,기타 과실채소 가공 및 저장처리업,김한상
5,분양,㈜CS,IT,"응용SW개발, 디자인업 등",최민호
6,분양,㈜대경엔지니어링,ET,전기전자공학연구,허경자
7,분양,㈜대은,IT,"전기전자공학 연구개발, 신재생에너지사업",송기택
8,분양,㈜보타메디,BT,"생물공학이용의약·식품,기능성식품원",이행우
9,분양,㈜아인스에스엔씨,IT,소프트웨어개발및공급,양영진
10,분양,㈜이스트소프트,IT,응용SW개발 및 공급업,김장중
11,분양,㈜제농,BT,농학연구개발업,김태형
12,분양,㈜제주팜플러스,BT,"기타 과실,채소 가공 및 저장처리 등",박준호
13,분양,㈜카카오,IT,포털 및 기타 인터넷 정보매개 서비스업,임지훈
14,분양,㈜피엔아이시스템,IT,"온라인교육,출판업,컴퓨터주변기기등",신재중
15,분양,㈜한국비엠아이,BT,의약품 제조,이광인
16,분양,도암엔지니어링,IT,배전반 및 전기자동제어반 등,오관준
17,분양,바이오스펙트럼㈜,BT,화장품제조업,박덕훈
18,분양,스킨큐어(주),BT,화장품 천연소재원료 연구 및 개발업,김명옥
19,분양,어업회사법인 ㈜제주아가,BT,"수산물, 바이오연구개발,컨설팅",최창권
20,분양,엠제이㈜,BT,화장품 제조업,김종만
21,분양,제주농장영농조합법인,BT,농산물,김영선
22,분양,주식회사제주팜이십일,BT,건조 과일 제조업,김태형
23,분양,없슴,IT,없슴,홍길동
24,분양,없슴,BT,없슴,홍길동
25,분양,포텍마이크로시스템㈜,IT,반도체 설계 등 연구개발,강한수
26,분양,한국에너지종합기술(주),ET,신재생에너지컨설팅업 등,부정환
27,임대,(사)국제전기자동차엑스포,기타,전시 및 행사대행업,김대환
28,임대,(유)디앤디드림,IT,소프트웨어 개발 및 공급업,김경민
29,임대,(재)국악방송,기타,라디오방송업,김영운
